hometype,price,beds,baths,neighborhood,sqft,age
Condo/Co-op,798000,1,1,Lower Pacific Height,640,38
Condo/Co-op,245000,1,1,Lower Pacific Height,540,26
Condo/Co-op,930000,1,1,Lower Pacific Height,889,34
Condo/Co-op,915000,1,1.5,South of Market,1124,22
Condo/Co-op,308266,1,1,Mission Bay,684,9
Townhouse,875000,1,1,South of Market,1157,18
Condo/Co-op,845000,1,1,Western Addition,701,19
Condo/Co-op,460000,1,1,Western Addition,550,55
Condo/Co-op,872000,1,1,Western Addition,749,11
Condo/Co-op,685000,1,1,Western Addition,588,34
Condo/Co-op,780000,1,1,South Beach,669,17
Condo/Co-op,325923,1,1,Diamond Heights,676,43
Condo/Co-op,842000,1,1,Yerba Buena,807,28
Condo/Co-op,760000,1,1,Diamond Heights,744,46
Condo/Co-op,705000,1,1,Hayes Valley,639,94
Condo/Co-op,820000,1,1,Inner Mission,676,8
Condo/Co-op,1050500,1,1,Eureka Valley/Dolore,966,103
Condo/Co-op,1015000,1,1.5,Central Waterfront,1092,18
Condo/Co-op,1005000,1,1,South Beach,1100,2
Condo/Co-op,1230000,1,1,South Beach,830,4
Condo/Co-op,1042000,1,1,South Beach,759,3
Condo/Co-op,1100000,1,2,South of Market,1021,19
Condo/Co-op,1001000,1,1,Cow Hollow,934,46
Condo/Co-op,1040000,1,1,North Panhandle,881,118
Condo/Co-op,1075000,1,1.5,Yerba Buena,1075,17
Condo/Co-op,1030000,1,1,South Beach,840,4
Condo/Co-op,1045000,1,1.5,South Beach,1090,23
Condo/Co-op,1094000,1,1,South Beach,840,4
Condo/Co-op,1210000,1,1.5,Yerba Buena,1029,16
Condo/Co-op,1020000,1,1.5,South Beach,976,17
Condo/Co-op,1013000,1,1,Van Ness/Civic Center,738,1
Condo/Co-op,1040000,1,1,Russian Hill,844,26
Condo/Co-op,1021000,1,1.5,South of Market,1231,19
Condo/Co-op,1200000,1,1,Pacific Heights,1089,89
Condo/Co-op,1150000,1,1,Eureka Valley/Dolore,982,91
Condo/Co-op,1050000,1,1.25,South Beach,976,17
Condo/Co-op,1000000,1,1,Inner Mission,905,81
Condo/Co-op,1080000,1,1,Van Ness/Civic Center,726,30
Condo/Co-op,1200000,1,1,Yerba Buena,909,8
Condo/Co-op,1512500,1,1,Haight Ashbury,1801,122
Condo/Co-op,1200000,1,1.5,Downtown,1379,12
Condo/Co-op,1495000,1,1,Financial District,1042,31
Single Family Residential,1200000,1,1,Central Sunset,827,100
Condo/Co-op,1310000,1,1,Pacific Heights,1253,94
Condo/Co-op,1160000,1,2,Inner Mission,891,18
Condo/Co-op,1225000,1,2,South of Market,1404,14
Multi-Family (5+ Unit),8350000,1,,Hayes Valley,8020,106
Condo/Co-op,1230001,1,1,Hayes Valley,870,8
Condo/Co-op,1100000,1,1,Eureka Valley/Dolore,1050,37
Condo/Co-op,1100000,1,2.5,South of Market,1366,17
Condo/Co-op,1100000,1,1.5,South of Market,1161,19
Condo/Co-op,1245000,1,1,Pacific Heights,1032,95
Condo/Co-op,1000000,1,1,Hayes Valley,855,10
Condo/Co-op,1000000,1,1,Marina,790,94
Condo/Co-op,1285000,1,1,Van Ness/Civic Center,806,1
Condo/Co-op,1055000,1,1,Pacific Heights,1370,52
Condo/Co-op,1045000,1,1,Van Ness/Civic Center,626,1
Condo/Co-op,1030000,1,1,Central Waterfront,778,0
Condo/Co-op,1040000,1,1,Central Waterfront,707,0
Condo/Co-op,1050000,1,1,Central Waterfront,764,0
Condo/Co-op,1666800,1,1,Nob Hill,1156,89
Condo/Co-op,1010000,1,1,Cow Hollow,885,89
Condo/Co-op,1290000,1,1.5,Mission Bay,1002,15
Condo/Co-op,1240000,1,1,Marina,991,87
Condo/Co-op,1150000,1,1,Cow Hollow,950,54
Condo/Co-op,1101000,1,1,South Beach,840,4
Condo/Co-op,1195000,1,1,Financial District,915,11
