personid,expgroup,performance,performance_pre,age,tenure,grosswage,children,commute,married
25940,1,-.68818724,.52405357,24,31,3.5226889,0,100,1
25962,1,-.32238331,-.23957241,24,31,3.6365478,1,80,1
26328,1,-1.045475,-1.2317928,22,31,3.6299655,0,30,0
26618,1,-1.0995302,-.78081286,24,30,3.6763389,0,40,0
26634,0,-.040162601,.41352496,26,30,2.8049321,0,60,0
26906,0,-1.1636821,.0094088716,24,30,3.2975867,0,40,0
26934,1,.75511724,.34132719,24,30,3.4246302,0,120,0
27180,2,-.19891565,.79352915,23,29,3.6185167,0,80,1
27234,2,.86512506,1.1949934,24,29,3.5235732,0,60,0
27540,2,-1.3426915,-1.50455,27,29,3.0060413,0,90,0
27704,0,.24592848,.42826033,26,28,2.6993911,0,30,0
27772,2,.89784259,-.24208914,24,28,3.3379233,0,100,0
27844,2,-1.3579067,-1.1490374,25,28,4.1549602,0,30,0
28190,0,-.31928149,.085549563,25,27,2.9674811,0,60,0
28204,2,-.55526429,.44121015,22,27,2.4714944,0,180,0
28224,0,-.055397976,.10593522,27,27,3.1292701,1,30,1
28226,1,-.85774118,-.97182977,23,27,2.3416898,0,120,0
28470,1,.4146339,-.55329293,24,27,3.0680244,0,60,0
28484,0,.063823856,.12908998,23,27,2.09901,1,120,1
28492,1,-1.1527623,-.92371774,24,27,4.2266932,0,40,0
28528,2,.49685588,.81558359,27,27,4.6637621,1,30,1
28560,0,-1.4216137,.10675242,20,27,2.9997089,0,160,0
28656,2,-1.2852476,-.5951643,23,26,2.2167034,0,120,1
29012,2,-1.0168248,-.60245162,20,26,1.2744288,0,40,0
29024,0,-1.3520305,-.7358923,26,26,2.5902634,0,160,0
29030,2,-.63500774,.12247834,28,26,2.4293523,0,180,0
29032,1,-.81309962,-.38984469,23,26,2.6952755,0,120,0
29172,0,.50792253,.634947,26,26,2.8963332,0,180,0
29192,2,.70516866,.69646132,29,26,3.8379033,0,120,0
29216,1,-.73279583,.40302351,26,26,2.9735067,0,50,0
29218,2,.070697851,.64942729,24,26,3.4329321,0,30,0
29230,1,-.39090815,.54962552,24,26,3.4854589,0,70,0
29240,2,-1.1588095,-.33761114,25,26,2.5492635,0,170,0
29248,0,-.8886674,-.81495267,27,26,2.7496324,1,40,1
29558,2,-1.1859994,.78929049,25,26,3.9397457,0,80,1
29594,2,.36717793,.71894532,23,26,3.6993778,0,120,0
29626,2,-1.5729125,-.92321765,23,26,3.5540123,0,40,0
29746,2,.28460795,.68258446,23,25,2.9760733,0,40,0
29750,2,-.47295791,.099884346,22,25,2.7162199,0,40,0
29770,2,-1.5321171,.20676316,24,25,4.3264756,0,35,0
29790,2,-.68007481,.12976371,22,25,2.5431232,0,120,0
29808,1,-.000025678088,-.86989993,25,25,3.0939734,1,32,1
29838,2,-.71924561,-.55600321,26,25,3.9435601,1,60,1
29964,2,-.42161515,.14262056,26,25,2.4840245,1,160,1
29996,0,-.70229691,-.26659715,23,25,3.3534834,0,60,1
30002,0,-1.0593888,-.34666067,26,25,3.3996856,0,200,0
30006,1,-.87182164,-.22568052,24,25,3.2888489,0,60,0
30014,1,.020806516,.16178729,30,25,4.3416367,0,50,0
30262,2,-.16806374,.60785532,25,25,3.5217209,0,40,0
30276,2,-.20140523,-.40326834,21,25,3.1930234,0,120,0
30308,1,.5719499,.82326567,21,25,3.7130811,0,50,0
30398,2,-.41469941,-.54805017,26,25,2.4336476,0,30,0
30448,1,-1.19633,-.45293245,23,25,3.5930345,0,60,0
30634,2,-1.1362245,.38734695,23,25,3.2355044,0,30,0
30972,1,-.38864043,-.67906117,27,24,2.8467743,0,120,0
31136,0,-.46576527,-.10442954,23,24,2.6250567,0,140,0
31150,0,-.24766727,.095728457,23,24,2.5736222,0,60,0
31206,2,-.36465412,-.20423296,22,24,2.49878,0,180,0
31230,1,-.76511496,.15558065,24,24,2.9393754,0,200,1
31292,1,1.1412451,.7668246,27,24,3.6276512,0,135,0
31796,1,-.54856455,.83750254,24,24,3.8672733,0,120,1
31888,0,.75549644,.97445577,27,23,3.249639,1,180,1
31922,2,-.15983465,.33645469,26,23,2.7839034,0,35,0
31936,1,-.17090698,-.28226873,25,23,2.4034512,0,75,0
32320,0,.0058247307,.33135656,22,23,4.5784731,0,60,0
32590,1,-1.4817407,-.59988534,28,23,2.6732466,0,100,0
32804,0,-.52789378,-.2203474,23,23,2.4055622,0,75,0
33094,2,-1.3077489,-1.2482141,23,22,3.1238844,0,45,0
33128,0,-.15081796,-.25125659,21,22,3.7385809,0,80,0
